,num_simplices,max_order_simplex,index_study
0,"[    200    5674   55232  274885  848362 1794003 2743631 3126157 2698447
 1780947  902286  350406  103463   22824    3646     401      28       1]",18,0
0,"[    200    5548   50202  222180  591940 1067821 1397292 1376435 1037789
  601299  266434   89033   21830    3721     393      19]",16,1
0,"[    200    5707   55430  274567  843074 1757762 2602489 2804150 2229219
 1315078  575083  184979   43031    6976     719      36]",16,2
0,"[    200    5897   57387  271532  766755 1442585 1919279 1862282 1335395
  707938  274034   75159   13748    1483      70]",15,3
0,"[   200   5555  50756 221019 554336 891491 978675 759086 421624 167011
  46230   8604   1001     61      1]",15,4
0,"[   200   5661  48582 189332 418348 590277 567697 386205 189153  66663
  16540   2737    270     12]",14,5
0,"[   200   5733  51561 210878 480836 689808 670302 460467 228202  82170
  21592   4162    584     54      2]",15,6
0,"[    200    5415   46298  198550  538664 1009546 1345278 1284954  876439
  420580  137912   29364    3708     231       4]",15,7
0,"[    200    5703   55483  279107  887819 1958739 3134867 3727105 3328717
 2236069 1120553  410857  106447   18372    1901      94       1]",17,8
0,"[   200   5758  50000 190530 396919 517358 456837 284679 127353  41034
   9464   1527    158      8]",14,9
0,"[    200    5654   52900  244108  676015 1244489 1611383 1518651 1064048
  559873  220996   64690   13744    2034     189       8]",16,10
0,"[    200    5752   59078  318319 1082383 2565628 4490323 5993695 6189081
 4943727 3019138 1378083  453622  101767   14113     986      17]",17,11
0,"[   200   5606  49060 196341 435382 588339 507468 285455 105450  25366
   3850    345     15]",13,12
0,"[   200   5736  51389 212182 501255 771125 835140 663994 393782 173776
  55957  12560   1791    133      3]",15,13
0,"[   200   5620  50002 206156 472651 660198 587855 341111 131023  34103
   6238    816     70      3]",14,14
0,"[   200   5670  49792 198646 442695 618148 576756 372705 169932  55101
  12661   1988    189      8]",14,15
0,"[    200    5760   54114  243127  633839 1053463 1166344  875576  446774
  153398   34531    4826     371      12]",14,16
0,"[   200   5639  48180 180005 359771 431690 333058 172607  61854  15486
   2628    264     10]",13,17
