,num_simplices,max_order_simplex,index_study
0,"[   200   5576  44360 150864 279072 323461 251365 132417  45928   9885
   1196     69      2]",13,0
0,"[    200    5585   50414  221117  580840 1018617 1261432 1133960  749124
  365738  132482   35735    7170    1038      96       4]",16,1
0,"[    200    5301   40488  149129  365521  688756 1040389 1271604 1262691
 1024223  683235  376862  172019   64449   19381    4486     746      79
       4]",19,2
0,"[   200   5495  42242 130948 204558 189295 121059  63721  30956  13335
   4542   1093    162     11]",14,3
0,"[   200   5550  44191 152875 291249 349435 290234 182094  93083  40024
  14134   3870    755     91      5]",15,4
0,"[   200   5712  47441 171224 343912 441808 386580 234362  97464  26813
   4507    386      9]",13,5
0,"[   200   5811  49878 181077 339146 366301 243177 102141  26970   4226
    323      5]",12,6
0,"[   200   5289  36251  97762 137642 121304  73387  31118   9042   1698
    182      9]",12,7
0,"[   200   5294  38893 119410 198926 212691 160041  87293  34117   9197
   1599    157      6]",13,8
0,"[   200   5527  41337 121936 180871 158198  90006  35230   9792   1971
    291     31      2]",13,9
0,"[   200   5546  42280 134205 235954 277568 242502 163141  84366  33150
   9658   1958    243     14]",14,10
0,"[    200    5919   56006  253544  684252 1234281 1581699 1486532 1037191
  535499  201216   53410    9575    1090      72       2]",16,11
0,"[   200   5656  45490 153652 276692 309673 238454 135477  59075  19627
   4660    692     47]",13,12
0,"[   200   5289  38679 121015 208635 226245 164900  82677  28339   6520
    990     99      6]",13,13
0,"[   200   5779  49145 179680 351103 417527 327438 177469  67548  17839
   3144    337     17]",13,14
0,"[   200   5607  46264 162091 297105 324439 227673 106264  33152   6752
    834     50]",12,15
0,"[   200   5802  53254 227505 558901 883962 951264 714680 378978 141709
  36853   6511    764     57      2]",15,16
0,"[   200   5384  37486  99046 129866 106988  70946  44450  25804  12720
   4899   1358    246     25      1]",15,17
0,"[   200   5596  41264 117534 171989 161310 113574  64572  29690  10922
   3220    756    134     16      1]",15,18
0,"[   200   5764  50471 198830 441801 634125 643112 491529 294357 138936
  50302  13235   2336    243     11]",15,19
0,"[   200   5324  38411 111842 170952 164793 112535  57080  21190   5360
    812     58      1]",13,20
0,"[   200   5305  36564  95926 120069  81739  32533   7851   1145     85
      1]",11,21
0,"[   200   5529  41441 120373 166680 124154  53299  13734   2215    236
     14]",11,22
0,"[   200   5476  44284 164313 366882 569238 648926 549623 343699 156193
  50265  11015   1551    128      5]",15,23
0,"[   200   5340  39030 120491 212829 269707 279359 243084 173360  98512
  43667  14773   3684    634     66      3]",16,24
0,"[   200   5486  45419 168072 342909 437310 376614 229140 100826  32209
   7310   1126    111      6]",14,25
0,"[   200   5519  42358 133511 218478 212410 131237  52516  13296   2015
    176      9]",12,26
0,"[   200   5368  41194 136075 247037 285658 229497 134488  58907  19393
   4680    773     79      4]",14,27
0,"[    200    5212   39058  151223  422210  909201 1496742 1881294 1809160
 1328606  739264  307021   92923   19776    2805     242      10]",17,28
0,"[   200   5552  39763 106629 137112  99739  45636  13819   2733    312
     13]",11,29
0,"[    200    5755   51957  219973  546396  902290 1053908  891379  547797
  242545   75923   16290    2279     189       7]",15,30
0,"[   200   5804  49772 188015 391786 509063 441968 267252 115629  36349
   8247   1293    127      6]",14,31
0,"[   200   5844  53368 220878 508477 735870 721876 502172 253621  93374
  24520   4311    441     18]",14,32
0,"[   200   5354  36694  93933 115246  80276  35071   9959   1787    181
      8]",11,33
0,"[   200   5462  38225 103494 149670 146831 109268  62494  27295   9073
   2266    410     49      3]",14,34
0,"[   200   5400  39599 115343 166495 135823  67515  21465   4589    704
     78      5]",12,35
0,"[   200   5392  37757 103280 151205 156944 137275  99188  54509  21400
   5614    889     71      2]",14,36
0,"[   200   5478  40106 116417 174247 164399 115883  67342  31984  11725
   3138    583     69      4]",14,37
0,[  200  5354 35649 83827 88928 52227 20274  6001  1398   227    19],11,38
0,"[   200   5495  39590 108087 142406 108487  55534  21235   6145   1220
    135      5]",12,39
0,"[    200    5557   48383  203049  522218  930893 1213833 1182809  870057
  486180  206819   66427   15635    2525     247      11]",16,40
0,"[   200   5325  38662 119486 211771 251873 211558 126455  53550  15812
   3138    384     22]",13,41
0,"[   200   4959  31858  84265 124142 119234  78540  35692  11278   2590
    455     54      3]",13,42
0,"[   200   5333  37046  99162 131765 101821  50340  17074   4149    727
     88      6]",12,43
0,"[   200   5711  47344 168989 323699 371270 266707 121153  34464   6006
    617     35      1]",13,44
0,"[   200   5596  38627  94812 114056  89324  54588  28003  12321   4570
   1344    282     36      2]",14,45
0,"[   200   5590  43266 143238 278461 389978 426217 368481 254591 143481
  67158  26130   8253   2018    354     39      2]",17,46
0,"[   200   5781  50446 198122 447013 672567 725918 575579 335606 142472
  43002   8772   1084     61]",14,47
0,"[   200   5763  44117 129717 192360 177037 115526  55807  19497   4650
    686     51      1]",13,48
0,"[   200   5383  39752 122571 200473 195546 119750  46506  11070   1467
     90      1]",12,49
0,"[   200   5678  46145 162338 321052 417826 387016 261093 127496  44093
  10443   1618    152      7]",14,50
0,"[   200   5415  43885 168697 391674 607659 657430 511155 292316 124084
  38559   8358   1144     82      2]",15,51
0,"[   200   5412  36800  90160 103203  67292  28997   9004   1956    241
      9]",11,52
0,"[   200   5440  39851 114327 162374 132642  67978  22726   4958    692
     64      4]",12,53
0,"[   200   5652  49270 195703 433883 602513 563384 371866 178033  62236
  15645   2708    295     16]",14,54
0,"[   200   5508  41313 124626 192377 172681  95182  32798   7062    953
     83      4]",12,55
0,"[   200   5370  38025 105386 148668 128608  79405  39234  15910   5028
   1150    170     12]",13,56
0,"[   200   5450  38158  99651 125339  89888  40247  11493   2030    200
      8]",11,57
0,"[   200   5709  47596 169055 321101 373528 285464 146766  50339  11106
   1458     96      2]",13,58
0,"[    200    5294   41974  159269  390097  742244 1184534 1592768 1776932
 1626789 1215137  737399  361797  142583   44695   10967    2048     276
      24       1]",20,59
0,"[   200   5481  39456 109432 149269 115562  54749  16340   3018    324
     17]",11,60
0,"[   200   5649  46045 165494 344476 480381 475365 337873 170762  59734
  13792   1942    146      5]",14,61
0,"[   200   5699  49235 195796 456521 707103 767490 595622 331589 131044
  35821   6436    684     33]",14,62
0,"[   200   5494  42795 143251 261650 294904 217879 108260  36045   7687
    934     48]",12,63
0,"[   200   5406  40268 120011 174815 138589  62957  16426   2299    139
      2]",11,64
0,"[   200   5538  48560 200994 471083 683040 644213 407582 175831  51561
   9896   1125     61      1]",14,65
0,"[   200   5393  37580 104945 159807 156738 104639  47856  14774   2949
    342     17]",12,66
0,"[   200   5388  41397 137178 245103 264827 181929  80116  22113   3636
    319     11]",12,67
0,"[    200    5681   50562  212626  529590  888350 1081125  992833  697491
  372902  148787   42825    8400    1007      56]",15,68
0,"[   200   5266  38807 122297 204347 199692 118847  43599   9649   1195
     75      2]",12,69
