,num_simplices,max_order_simplex,index_study
0,[  200  5393 33616 67942 57102 23874  5476   669    35],9,0
0,"[  200  5303 31837 62555 56628 32831 15682  6826  2678   894   228    38
     3]",13,1
0,"[    200    5368   38422  123639  281110  590301 1161835 2005503 2930165
 3587191 3668696 3124047 2202017 1272945  595422  221041   63324   13419
    1964     175       7]",21,2
0,"[   200   5473  38870 112719 192952 254569 296554 314449 296414 239964
 162383  89982  39990  13868   3604    658     75      4]",18,3
0,"[   200   5186  33362  85859 126941 129336  93714  47271  16085   3520
    454     28]",12,4
0,"[   200   5079  33668  96019 170671 234742 266894 252508 198151 127607
  66192  27027   8481   1992    336     37      2]",17,5
0,"[   200   5189  34582  99678 185832 276838 342014 347601 293474 209542
 126850  63626  25384   7661   1636    220     14]",17,6
0,"[  200  4982 27452 53033 58358 51413 37402 20738  8297  2314   434    51
     3]",13,7
0,"[    200    5128   33909  110453  315237  858965 1959923 3572625 5201278
 6099205 5805246 4505790 2853023 1466597  605206  196681   48847    8840
    1075      75       2]",21,8
0,"[   200   5020  30707  76971 115643 125952 106273  70295  36033  13893
   3798    654     53]",13,9
0,"[   200   5221  33183  79566 104563 100770  81625  57275  34752  17721
   7229   2224    479     64      4]",15,10
0,"[    200    5581   42132  144471  338954  635513  942928 1089777  982700
  696035  389411  172167   59536   15642    2942     352      20]",17,11
0,"[  200  5304 33772 77510 88107 62077 31080 12228  4060  1108   225    30
     2]",13,12
0,"[   200   5250  33040  79623 109889 111038  88486  55258  26336   9238
   2238    330     22]",13,13
0,"[  200  5269 33086 75066 87712 72993 54317 37164 21194  9138  2762   541
    61     3]",14,14
0,"[   200   5316  35580  93650 135916 134622  99866  56399  23849   7269
   1491    182     10]",13,15
0,"[   200   5263  33666  82337 117888 133666 129182 103187  66284  33506
  13025   3774    771     99      6]",15,16
0,"[   200   5277  34760  90789 138118 167795 195725 223535 232855 206837
 150942  88622  41049  14608   3838    698     78      4]",18,17
0,"[  200  5254 33057 77142 96143 82481 54787 28972 11995  3714   804   109
     7]",13,18
0,"[   200   5170  33601  89774 142159 160450 136294  87924  42627  15144
   3770    607     55      2]",14,19
0,"[   200   5527  40854 130854 261610 390163 446857 389568 257861 129639
  49022  13494   2519    275     12]",15,20
0,"[  200  5279 32467 71184 86893 89318 87723 75811 53198 28849 11667  3386
   664    78     4]",15,21
0,[  200  5468 36199 84807 96776 68243 32761 10608  2230   277    16],11,22
0,"[   200   5164  33150  84634 125163 138044 125080  91798  52226  22100
   6610   1282    136      5]",14,23
0,"[   200   5028  30877  78199 130694 187310 232458 232896 179965 105365
  46402  15192   3582    566     52      2]",16,24
0,"[   200   5218  34563  93496 142927 142595  95213  41257  10765   1468
     77]",11,25
0,"[   200   5076  30754  74748 107258 106564  75985  39135  14336   3606
    594     60      3]",13,26
