,Id,Filename,Species,Genus,Sub-Family,Family,Sub-Order,Order,Super-Order,Name,Common-Name,DTI resolution,SNR,Brain Orientation,GM,WM,log10(GM),log10(WM),log10(BrV),BR,TotFib,CC,AC,HC,Total Commisures,Com Ratio,Total MSP,HMSP (RA),HMSP (LB),AvHMSP,TNetDens,HNetDens,Strong NetDens (>20),Hcost,Tcost,n
0,0,Addax,Addax Nasomaculatus,Addax,Hippotranginae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Addax,Addax,1.0,88.27806869,RL,136.87,30.19,5.136308267,4.479863113,5.222872477,167.06,50908,3507,24,217,3748,7.362300621,103.1127258,37.021322,47.50791575,42.26461888,0.2468,14.2925,1.59,677925.3,693075.9,1.0
1,1,Agouti1,Dasyprocta leporina,Dasyprocta,Dasyprocta,Dasyproctidae,Hystricomorpha,Rodentia,Euarchontoglires,Agouti,Red-rumped agouti,0.48,40.92658275,RL,15.20805,3.05587,4.182073532,3.485134875,4.261593996,18.26392,81763,6881,644,3898,11423,13.97086702,135.1040022,53.63527413,55.6047246,54.61999937,0.37459,21.392,1.08,753259.25,826113.0,2.0
2,2,Agouti2,Dasyprocta leporina,Dasyprocta,Dasyprocta,Dasyproctidae,Hystricomorpha,Rodentia,Euarchontoglires,Agouti,Red-rumped agouti,0.49,44.56908761,RL,14.36,2.899,4.15715444,3.462248215,4.237015629,17.259,79663,6670,621,3098,10389,13.041186,131.5193978,50.68514353,53.65050695,52.16782524,0.35247,18.8805,1.07,812097.1,990817.7,2.0
3,3,Armadillo,Chaetophractus villosus,Chaetophractus,Euphractinae,Chlamyphoridae,Cingulata,Xenarthra,Xenarthra,Armadillo,Big hairy armadillo,0.41,50.09108013,RL,9.85,0.55,3.99343623,2.740362689,4.017033339,10.4,72678,2539,2081,2266,6886,9.474669088,137.1595869,53.87539578,51.49653685,52.68596632,0.36667,20.7795,0.99,728665.45,776912.1,1.0
4,4,ArtibeusJamacien,Artibeus jamaicensis,Artibeus,Stenodermatinae,Phyllostomidae,Microchiroptera,Chiroptera,Laurasiatheria,Artibeus Jamacien,"Jamaican fruitbat",0.2,56.3818654,RL,0.8344,0.1332,2.921374295,2.124504225,2.98569586,0.9676,53607,3450,503,1168,5121,9.552856903,109.4302912,43.89409864,50.54743615,47.2207674,0.30078,15.1305,1.5,872486.75,946122.7,1.0
5,5,Asellia,Asellia tridens,Asellia,Hipposideridae,Hipposideridae,Microchiroptera,Chiroptera,Laurasiatheria,Asellia,Trident leaf-nosed bat,0.13,32.74626167,RL,0.096398,0.002098,1.984068024,0.321805484,1.993418594,0.098496,96623,165,109,1575,1849,1.91362305,108.5316026,47.49202631,39.24518848,43.3686074,0.19522,9.6065,1.45,337254.65,357747.7,1.0
6,6,AsianOtter,Amblonyx cinerea,Amblonyx,Lutrinae,Mustelidae,Caniformia,Carnivora,Laurasiatheria,Asian Otter,Asian small clawed otter,0.57,29.24404244,RL,27.55,5.067,4.440121603,3.704750904,4.513444014,32.617,52543,6873,231,938,8042,15.30555926,137.117031,54.3139055,55.29622333,54.80506441,0.36485,20.0335,0.93,714699.6,783857.0,1.0
7,7,Baboon1,Baboon,Papio,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Baboon,Hemadryas baboon,0.888,88.80085518,RL,122.5,18.7,5.088136089,4.271841607,5.149834697,141.2,63434,10309,574,715,11598,18.28357033,133.0535412,54.95470671,51.15574362,53.05522516,0.3446,19.793,1.13,752604.8,804698.3,3.0
8,8,Baboon2,Baboon,Papio,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Baboon,Hemadryas baboon,0.9,96.94906725,RL,112.5,36.6,5.051152522,4.563481085,5.173477643,149.1,79520,12529,590,669,13788,17.33903421,131.3892283,53.60387807,52.61399408,53.10893607,0.33098,18.4175,1.15,712659.9,781110.2,3.0
9,9,Baboon3,Baboon,Papio,Cercopithecinae,Cercopithecidae,Haplorrhini,Primates,Euarchontoglires,Baboon,Hemadryas baboon,0.85,106.1898464,RL,90.94,30.41,4.95875495,4.48301642,5.084039781,121.35,56507,7267,103,568,7938,14.04781708,122.2314535,50.15648624,48.76397866,49.46023245,0.30434,17.508,1.31,716114.1,769040.0,3.0
