,num_simplices,max_order_simplex,index_study
0,"[   200   4692  36140 137183 312878 475738 509898 394892 220951  87220
  23115   3784    332     11]",14,0
0,"[   200   4816  39154 152988 347221 510834 517651 372839 193164  71521
  18386   3096    306     13]",14,1
0,[ 200 2247 6231 6203 2699  609   75    4],8,2
0,"[    200    4533   38385  171752  475720  890101 1185462 1160975  854258
  480363  210040   72701   20070    4311     668      65       3]",17,3
0,[  200  3036 12677 22833 22109 12834  4533   909    89     2],10,4
0,"[   200   3510  21561  67717 130133 169620 159075 110076  56133  20679
   5321    905     91      4]",14,5
0,[  200  3044 13066 23536 21309 10403  2857   462    39     1],10,6
0,[  200  3039 11938 19381 17367 10355  4327  1162   159     5],10,7
0,[  200  3020 12234 20746 18769 10275  3643   867   134    10],10,8
0,[  200  3052 12124 19278 14902  6010  1197   105     4],9,9
0,[ 200 2503 5742 3945 1330  348   67    7],8,10
0,[ 200 2376 6593 6627 3029  792  125    7],8,11
0,"[    200    4481   41441  218755  753853 1819502 3211235 4269480 4374113
 3518031 2256380 1167313  488820  164263   43258    8563    1189     102
       4]",19,12
0,[  200  3432 16129 33020 38756 30811 17712  7609  2514   626   106     9],12,13
0,[  200  3555 18875 44696 57484 44113 20921  6117  1056    95     2],11,14
0,[  200  2634  8321 10553  7347  3164   914   182    19],9,15
0,[  200  2912 10033 12203  6380  1646   206     9],8,16
0,[  200  2851 10048 13679  9434  3764   826    75     1],9,17
0,[  200  3056 13300 27304 35496 34112 24801 13157  4888  1213   181    12],12,18
0,[  200  2648  9451 14399 11671  5481  1485   210    11],9,19
0,[  200  2708  8749 10932  6845  2371   468    50     2],9,20
0,[  200  2896  9836 12695  8070  2904   664   105     9],9,21
0,"[   200   4603  35907 138622 319849 488241 520942 401397 229038  99061
  33048   8476   1597    197     12]",15,22
0,"[   200   4481  36682 155507 402437 696426 849624 751945 488036 231515
  79098  18977   3075    313     16]",15,23
0,"[    200    4744   43659  223738  748683 1778063 3144966 4264043 4506093
 3742389 2447827 1257642  504411  156519   37107    6568     821      63
       2]",19,24
0,[  200  3324 14627 27302 27590 16885  6433  1474   177     8],10,25
0,[ 200 2595 7732 8383 4152 1066  133    6],8,26
0,[  200  2548  8548 12628 10948  6448  2620   670    95     6],10,27
0,[ 200 2383 7399 9171 5634 1812  268    9],8,28
0,[  200  3016 12310 20601 17663  8473  2238   299    15],9,29
0,"[    200    4359   35187  160613  500262 1144875 1980324 2629159 2710828
 2191306 1398105  705976  281147   87142   20424    3423     367      19]",18,30
0,[  200  3238 14598 29092 32083 22175 10423  3414   716    76     1],11,31
0,[  200  2842 11337 19929 19044 10807  3749   785    92     5],10,32
0,"[   200   3791  23415  70032 123263 142021 112645  62424  24068   6458
   1254    188     20      1]",14,33
0,"[   200   4067  24914  70093 110337 106918  66090  25796   6019    748
     37]",11,34
0,[  200  3112 12581 20945 17644  8256  2213   327    21],9,35
0,[  200  3070 13389 25991 27545 17478  7242  2201   531    93     8],11,36
0,"[   200   4113  26145  77944 137364 162362 136446  84128  39087  14033
   3928    821    111      7]",14,37
0,"[  200  3944 23649 63307 90509 76978 41982 15740  4432  1013   181    21
     1]",13,38
0,"[   200   3820  23795  73235 133446 158212 129741  76801  33629  10930
   2577    418     42      2]",14,39
0,"[   200   4167  31209 119467 275353 419636 447535 345239 195481  81056
  24132   4944    642     44      1]",15,40
0,[  200  3288 13996 24262 22234 12295  4283   942   120     6],10,41
0,[  200  3369 14680 25815 25028 16601  8256  3034   774   118     8],11,42
0,[  200  3281 14950 30458 36432 29454 16931  6829  1826   290    21],11,43
0,[  200  3619 18689 43405 55743 43313 21412  6945  1455   170     6],11,44
0,"[   200   4708  37694 148845 350213 547106 602417 481292 281344 119179
  35501   7035    852     57      2]",15,45
0,[  200  3580 20298 52470 76544 73709 51949 28092 11584  3440   649    58],12,46
0,"[    200    4612   41823  205613  633022 1325065 1987121 2208892 1858526
 1195620  588207  219153   60560   11966    1577     118       3]",17,47
0,[ 200 2475 6437 5794 2445  505   39],7,48
0,[  200  3577 18233 42051 55763 47477 26703  9701  2124   251    16     1],12,49
0,[ 200 2745 7900 7552 3123  673   75    4],8,50
0,"[  200  3815 21488 54440 79638 79239 58002 31565 12449  3420   617    65
     3]",13,51
0,[  200  3958 24157 64578 91676 77739 42079 14853  3352   456    34     1],12,52
0,[  200  3636 19633 46992 60281 45606 21427  6466  1280   166    11],11,53
0,[ 200 2357 5551 4428 1684  326   23],7,54
0,"[   200   3939  27291  97743 217247 332755 371277 308933 192245  88415
  29273   6660    952     69      1]",15,55
0,[  200  3744 20498 50479 68880 57267 29712  9478  1761   169     6],11,56
0,[  200  3786 21488 54569 75088 61346 31093 10019  2029   234    11],11,57
0,[  200  3728 21741 58133 85375 75876 43093 16171  4100   707    78     4],12,58
0,[  199  2731 11399 21866 23285 14908  5804  1348   187    14],10,59
0,[  200  3099 13180 23218 21472 12228  4565  1095   153    10],10,60
0,"[  200  3568 19451 49539 73565 72195 49647 24512  8760  2253   402    44
     2]",13,61
0,[  200  3286 14595 27927 29685 20457  9791  3233   694    87     5],11,62
0,[ 200 2788 8648 9362 4874 1566  338   41    2],9,63
0,[ 200 2635 7761 9099 5602 2025  422   40],8,64
0,"[   200   4674  39331 168088 430702 730122 878506 795513 570137 333865
 159372  59638  16387   3029    330     16]",16,65
0,[  200  3754 21359 53158 69321 51843 23170  6268  1034   102     4],11,66
0,[  200  3722 18989 38667 39118 23478  9689  2926   602    70     3],11,67
0,[  200  2996 10573 14066  8899  2977   543    53     2],9,68
0,[  200  3484 16559 32694 34288 22809 10535  3342   668    72     3],11,69
0,"[   200   4426  31685 101152 171603 173460 113778  51893  17389   4403
    818    100      6]",13,70
0,"[   200   4164  28326  90191 160178 174418 122258  56092  16656   3084
    333     17]",12,71
0,"[   200   4140  25864  77572 143953 189934 190654 147345  85908  36416
  10596   1911    171      3]",14,72
0,"[   200   4558  33692 115116 221227 268813 220978 127348  52586  16087
   3861    751    107      8]",14,73
0,[  200  3866 22637 59973 87429 77704 44023 15898  3523   443    26],11,74
0,"[   200   4584  33441 114229 223391 279006 236273 140268  59396  18134
   4063    674     75      4]",14,75
0,"[   200   4139  26355  76148 122770 124274  84921  41326  14949   4066
    790     95      5]",13,76
0,"[   200   4753  37741 148320 349398 549126 615589 514130 328732 163143
  62759  18353   3912    565     49      2]",16,77
0,"[   200   4752  37276 138666 294214 398831 376107 265679 149814  70329
  27804   9080   2338    440     53      3]",16,78
0,[  200  3273 14251 26492 27108 18356  9534  3985  1251   266    34     2],12,79
0,[ 200 2429 6772 6719 3058  709   81    3],8,80
0,"[   200   3721  22568  65688 109982 116667  82316  39320  12581   2571
    296     13]",12,81
0,[  200  2748  9178 12548  9051  3679   838   101     6],9,82
0,[  200  2824 10431 16320 13531  6550  1874   288    18],9,83
0,"[   200   4128  26553  79882 142070 171709 151409  99814  48764  17005
   3940    535     32]",13,84
0,[  200  3608 17823 37706 44348 33693 18042  7158  2133   451    57     3],12,85
0,[  200  2989 10146 12167  6450  1562   143    10],8,86
0,"[  200  3260 17413 47399 80454 95359 83875 55941 28070 10287  2630   439
    43     2]",14,87
0,[  200  2840 10209 15849 13545  6842  2021   335    28     1],10,88
0,[  200  2791  9215 11392  6595  1981   295    19],8,89
0,[  200  2290  7925 12448 10306  5061  1620   332    32],9,90
0,[ 200 2214 4947 3659 1165  181    7],7,91
0,[ 200 1962 2791  862   51],5,92
0,[ 200 2350 6755 7924 5096 2058  547   87    5],9,93
0,[  200  3253 14633 28163 28358 16234  5321   991   118    13     1],11,94
0,[  200  3077 10725 13229  7165  1931   257    13],8,95
0,[ 200 2343 5800 5626 3010 1101  260   34    2],9,96
0,[  200  2474  7522 10732  9842  6319  2693   690    87     2],10,97
0,[ 200 2733 7931 8128 3747  859  122   10],8,98
0,[ 200 1834 2630 1017  191   21    2],7,99
0,[  200  3374 14434 23923 19367  8653  2183   291    16],9,100
0,[ 199 2935 8653 8633 3858  898  128   13    1],9,101
0,[ 200 2470 7331 8436 4903 1595  279   18],8,102
0,[ 200 1500 2052  990  205   16],6,103
0,[ 200 2726 8630 9729 4769 1095   97],7,104
0,[ 200 2648 7393 8714 5714 2262  536   62],8,105
0,[ 200 2405 7009 8837 6177 2585  665   99    7],9,106
0,[  200  2322  8250 14533 14984  9951  4542  1484   348    53     4],11,107
0,"[   200   4798  38567 144238 295619 370635 308519 180971  77340  23901
   4989    601     28]",13,108
0,"[   200   4107  28490 100090 212819 299847 292990 202059  98081  32732
   7136    918     54]",13,109
0,"[   200   4572  37368 154137 376411 596173 646368 493831 268237 102549
  26675   4396    398     14]",14,110
0,[  200  2814 11833 23800 27988 21660 11794  4680  1370   287    38     2],12,111
0,[  200  2721  9258 12853  8936  3491   927   194    25     1],10,112
0,"[   200   4442  28815  78039 107551  84896  41522  13241   2767    359
     24]",11,113
0,[  200  3421 16045 30427 28208 13801  3513   419    18],9,114
0,[  200  3206 12721 19680 15171  7116  2654   857   207    31     2],11,115
0,"[    200    5072   50505  277566  980093 2419326 4414990 6201224 6898314
 6189861 4522736 2696793 1307208  510164  157648   37548    6604     800
      59       2]",20,116
0,"[    200    4615   40613  184907  498639  866981 1026114  857353  519054
  232019   77211   18843    3198     341      18]",15,117
0,"[   200   4973  36144 112330 182500 176037 109488  46070  13421   2713
    363     25]",12,118
0,"[    200    5417   50206  224146  573686  934191 1027905  785634  418747
  153796   37989    6078     597      34       1]",15,119
0,"[    200    4731   41890  199036  603103 1277034 1988936 2347257 2135292
 1509092  827704  348333  109729   24771    3722     325      12]",17,120
0,"[   200   4662  36539 136747 293387 410482 413351 318299 191559  90274
  33404   9767   2234    375     40      2]",16,121
0,[  200  3195 14692 30715 36363 26441 11962  3278   515    40     1],11,122
0,[  200  4084 24672 64001 85983 66411 31200  9089  1591   147     5],11,123
0,"[   200   4076  24990  69053 106866 105377  70435  32198   9681   1757
    169      7]",12,124
0,"[   200   4690  37840 151576 371854 638129 831268 856270 704415 459618
 234534  91699  26670   5540    778     68      3]",17,125
0,"[   200   5108  41137 149994 303198 381693 319239 183371  73175  19990
   3462    302      6]",13,126
0,[  200  3673 20444 55262 90742 98044 70881 34013 10450  1888   164     2],12,127
0,"[   200   3760  24054  77102 150202 200636 197704 148031  83883  35199
  10586   2168    273     16]",14,128
0,[  200  3607 18639 41685 49248 34305 15058  4364   859   114     8],11,129
0,[  200  3728 19183 41595 46893 31083 12639  3012   355    14],10,130
0,"[    200    4799   41131  181579  496649  939067 1313452 1413983 1195314
  798728  420851  173332   55032   13169    2272     255      14]",17,131
0,[  200  3211 17780 48937 79380 84032 61492 31535 11053  2498   326    19],12,132
0,[  200  2956 13338 27790 31339 20682  8394  2153   342    27],10,133
0,[  200  3716 18698 38965 42128 26918 10799  2695   377    22],10,134
0,[  200  3619 18146 39578 47985 37751 21311  9105  2977   712   110     8],12,135
0,[  200  3158 12948 22847 22287 13140  4643   894    74],9,136
0,[  200  3348 15401 31004 34734 24730 11859  3840   781    78     1],11,137
0,"[   200   3748  27379 109316 276391 480292 602966 563232 397494 212918
  86102  25855   5588    827     78      4]",16,138
0,"[   200   4383  31852 115084 254086 382124 413609 330172 195011  83955
  25441   5106    615     38      1]",15,139
0,[  200  3934 22041 51696 62097 43055 18427  4954   825    80     4],11,140
0,"[   200   4504  37060 155019 377637 572938 559451 356136 147619  39280
   6479    604     24]",13,141
0,"[   200   4084  27734  91820 180534 236187 219235 148768  74021  26554
   6661   1117    116      6]",14,142
0,"[   200   4117  29717 113402 279981 497008 665431 682810 536032 317455
 138181  42407   8586   1020     54]",15,143
0,"[   200   4524  35502 139665 327820 507008 548378 428472 244829 101717
  29957   5945    720     41]",14,144
0,[  200  3785 17605 32374 31177 18596  7415  1929   290    20],10,145
0,"[   200   4397  34378 142716 374873 676522 873836 825761 576958 297890
 112153  29952   5400    593     30]",15,146
0,[  200  3545 16901 33199 33681 19876  7207  1627   219    13],10,147
0,"[   200   3597  23003  77768 164658 235670 236810 171039  90116  34798
   9722   1884    229     13]",14,148
0,[  200  3192 13847 24969 22757 11609  3504   640    63     1],10,149
0,"[   200   4077  31615 129654 325998 544887 633411 522753 306294 124952
  34050   5762    532     20]",14,150
0,"[     200     5132    54152   322598  1250650  3411994  6869698 10511245
 12431460 11456615  8239602  4607610  1987273   652980   160586    28734
     3541      266        9]",19,151
0,"[   200   4444  33508 123377 263408 359269 331276 212537  95378  29506
   6077    773     48]",13,152
0,"[   200   3701  24031  79691 159505 210930 194233 127764  60053  19685
   4254    546     35      1]",14,153
0,"[   200   4824  37500 139123 301515 430353 435176 324315 180574  74580
  22166   4440    526     27]",14,154
0,"[   200   4551  36892 154306 394837 674181 801911 676464 405967 171882
  50261   9751   1169     77      2]",15,155
0,"[   200   4840  42371 186415 481710 800148 903838 719124 411195 170132
  50421  10343   1369     99      2]",15,156
0,"[    200    4462   37282  163896  448650  850021 1189757 1269445 1038132
  642874  294074   95706   20963    2841     210       7]",16,157
0,"[   200   4515  35025 133010 291001 396471 347401 196529  70608  15562
   1981    129      4]",13,158
0,"[   200   4695  37789 153560 381852 642310 765217 655501 403236 176535
  54447  11752   1755    169      8]",15,159
0,"[   200   4544  35104 131793 281232 369652 311487 170365  59784  12938
   1584     89]",12,160
0,"[   200   4473  34475 132861 306689 469206 504089 391535 221080  89193
  24608   4262    389     12]",14,161
0,"[   200   4046  26443  84989 166922 226087 224086 166044  92171  37994
  11357   2327    287     15]",14,162
0,"[   200   4731  38521 159375 403114 686374 829477 735981 491264 250340
  97692  28971   6422   1030    110      6]",16,163
0,[  200  3181 12560 18755 13433  5473  1387   244    32     2],10,164
0,[  200  3339 14821 27816 28064 17597  7553  2366   543    81     6],11,165
0,"[   200   4752  37628 146805 343425 538256 602596 500023 314045 150625
  54860  14749   2739    307     15]",15,166
0,"[     200     6044    72028   462109  1837720  4902525  9237100 12751156
 13259924 10623533  6679764  3340314  1334091   421160   101840    17720
     1967      104]",18,167
0,[  200  3388 16217 33645 37707 25653 10880  2693   322    10],10,168
0,[  200  3436 15735 29729 29467 17714  6937  1762   262    17],10,169
0,"[   200   4852  39587 156727 361811 539372 551036 400129 212086  84482
  26479   6961   1587    290     35      2]",16,170
0,"[    200    5595   60982  340483 1107378 2265406 3063223 2827329 1816484
  820089  260617   58080    8930     884      43]",15,171
0,"[   200   5350  48124 200224 461333 672841 690001 532539 315367 140133
  44621   9562   1260     89      3]",15,172
0,"[    200    4888   42535  186010  487703  850151 1048666  949124  643585
  331059  129815   38547    8419    1252     106       3]",16,173
0,"[   200   5330  45598 176750 376442 496242 436729 270609 122980  42015
  10678   1875    193      8]",14,174
0,[  200  3311 16944 40997 55618 45379 22749  6937  1262   138     7],11,175
0,"[   200   4236  29336  96795 184551 227919 193134 114067  46431  12606
   2149    206      9]",13,176
