,num_simplices,normalized_simplices,max_order_simplex,index_study
0,"[   200   4398  30382 100332 196314 256035 236118 156556  73453  23436
   4790    584     42      2]","[1.00000000e+00 2.21005025e-01 2.31323283e-02 1.55108723e-03
 7.74215672e-05 3.10689562e-06 1.03383857e-07 2.84135848e-09
 6.24895119e-11 1.04387312e-12 1.23520438e-14 9.56171071e-17
 4.75507692e-19 1.69521459e-21]",14,0
1,"[   200   4515  32971 112905 221709 281268 246286 153292  68004  21054
   4314    524     28]","[1.00000000e+00 2.26884422e-01 2.51035480e-02 1.74546011e-03
 8.74367505e-05 3.41308929e-06 1.07835898e-07 2.78211965e-09
 5.78538217e-11 9.37775420e-13 1.11245756e-14 8.57934317e-17
 3.17005128e-19]",13,1
2,[ 200 2106 5212 4553 1725  336   36    2],"[1.00000000e+00 1.05829146e-01 3.96832648e-03 7.03873158e-05
 6.80298926e-07 4.07724306e-09 1.57625376e-11 3.62983019e-14]",8,2
3,"[   200   4250  33139 134650 334480 555018 649418 555376 356675 176206
  68326  20896   4892    807     79      3]","[1.00000000e+00 2.13567839e-01 2.52314603e-02 2.08162795e-03
 1.31910948e-04 6.73495027e-06 2.84346546e-07 1.00796029e-08
 3.03438207e-10 7.84846849e-12 1.76193267e-13 3.42125868e-15
 5.53853245e-17 6.84019086e-19 5.40007872e-21 1.77354621e-23]",16,3
4,[  200  2847 11034 18387 16443  8749  2807   525    57     2],"[1.00000000e+00 1.43065327e-01 8.40109639e-03 2.84254684e-04
 6.48472768e-06 1.06166070e-07 1.22904009e-09 9.52830426e-12
 4.84922628e-14 8.90828745e-17]",10,4
5,"[   200   3290  18470  52389  90119 103731  83914  48366  19724   5592
   1071    130      8]","[1.00000000e+00 1.65326633e-01 1.40627379e-02 8.09910188e-04
 3.55407878e-05 1.25873958e-06 3.67415995e-08 8.77801836e-10
 1.67800244e-11 2.49075717e-13 2.76180354e-15 2.12846300e-17
 9.05728936e-20]",13,5
6,[  200  2852 11098 17510 13456  5444  1275   199    21     1],"[1.00000000e+00 1.43316583e-01 8.44982488e-03 2.70696661e-04
 5.30672600e-06 6.60610454e-08 5.58256541e-10 3.61168104e-12
 1.78655705e-14 4.45414373e-17]",10,6
7,[  200  2850 10251 14989 12034  6348  2320   534    58],"[1.00000000e+00 1.43216080e-01 7.80493376e-03 2.31723144e-04
 4.74592306e-06 7.70307707e-08 1.01580798e-09 9.69164662e-12
 4.93430042e-14]",9,7
8,[  200  2832 10352 15629 12926  6802  2400   559    74     4],"[1.00000000e+00 1.42311558e-01 7.88183341e-03 2.41617254e-04
 5.09770662e-06 8.25399027e-08 1.05083584e-09 1.01453754e-11
 6.29548674e-14 1.78165749e-16]",10,8
9,[  200  2861 10476 15218 10631  3757   622    36],"[1.00000000e+00 1.43768844e-01 7.97624486e-03 2.35263380e-04
 4.19261327e-06 4.55898875e-08 2.72341622e-10 6.53369435e-13]",8,9
