,betti_numbers,index_study
0,"[1, 1, 53, 136, 99, 20, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,"[1, 1, 67, 158, 131, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
0,"[1, 0, 44, 140, 94, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]",2
0,"[1, 0, 28, 144, 142, 37, 2, 0, 0, 0, 0, 0, 0, 0]",3
0,"[1, 4, 39, 114, 92, 21, 3, 0, 0, 0, 0, 0, 0, 0]",4
0,"[1, 0, 45, 276, 177, 47, 3, 0, 0, 0, 0, 0, 0]",5
0,"[1, 1, 24, 176, 197, 38, 0, 0, 0, 0, 0, 0, 0, 0]",6
0,"[1, 1, 88, 257, 49, 16, 2, 3, 0, 0, 0, 0, 0, 0]",7
0,"[1, 0, 42, 148, 51, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0,"[1, 1, 31, 281, 305, 18, 0, 0, 0, 0, 0, 0, 0]",9
0,"[1, 4, 51, 139, 80, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0]",10
0,"[1, 2, 23, 77, 72, 26, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0]",11
0,"[1, 2, 44, 185, 182, 76, 9, 0, 0, 0, 0, 0]",12
0,"[1, 1, 48, 212, 215, 41, 1, 0, 0, 0, 0, 0, 0, 0]",13
0,"[1, 0, 45, 177, 240, 91, 14, 0, 0, 0, 0, 0, 0]",14
0,"[1, 1, 36, 267, 254, 69, 5, 0, 0, 0, 0, 0, 0]",15
0,"[1, 3, 34, 136, 138, 37, 14, 0, 0, 0, 0, 0, 0]",16
0,"[1, 0, 40, 241, 278, 68, 0, 0, 0, 0, 0, 0]",17
0,"[1, 0, 34, 245, 354, 99, 10, 0, 0, 0, 0]",18
0,"[1, 0, 41, 418, 182, 8, 0, 0, 0, 0, 0, 0]",19
0,"[1, 0, 32, 124, 142, 88, 10, 1, 0, 0, 0, 0, 0, 0]",20
0,"[1, 0, 31, 253, 129, 33, 6, 0, 0, 0, 0, 0, 0]",21
0,"[1, 1, 48, 308, 327, 41, 1, 0, 0, 0, 0, 0]",22
0,"[1, 1, 31, 281, 181, 30, 0, 0, 0, 0, 0, 0, 0, 0]",23
0,"[1, 3, 26, 146, 236, 66, 1, 0, 0, 0, 0, 0]",24
0,"[1, 0, 58, 138, 177, 80, 17, 0, 0, 0, 0, 0, 0]",25
0,"[1, 1, 37, 372, 172, 34, 0, 0, 0, 0, 0, 0]",26
0,"[1, 0, 31, 290, 454, 48, 0, 0, 0, 0, 0, 0]",27
0,"[1, 2, 50, 93, 49, 15, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",28
0,"[1, 2, 31, 119, 241, 135, 15, 0, 0, 0, 0, 0, 0]",29
0,"[1, 2, 51, 217, 173, 48, 7, 0, 0, 0, 0, 0, 0]",30
0,"[1, 1, 37, 132, 118, 19, 1, 0, 0, 0, 0, 0, 0, 0]",31
0,"[1, 1, 68, 311, 128, 12, 1, 0, 0, 0, 0, 0]",32
0,"[1, 0, 60, 225, 129, 25, 1, 0, 0, 0, 0, 0]",33
0,"[1, 1, 41, 367, 260, 15, 0, 0, 0, 0, 0]",34
0,"[1, 1, 31, 195, 170, 29, 2, 0, 0, 0, 0, 0, 0, 0]",35
0,"[1, 0, 38, 112, 99, 28, 4, 0, 0, 0, 0, 0, 0, 0]",36
0,"[1, 3, 36, 233, 300, 92, 1, 0, 0, 0, 0, 0, 0]",37
0,"[1, 2, 65, 362, 220, 15, 1, 0, 0, 0, 0, 0]",38
0,"[1, 4, 39, 98, 121, 62, 4, 0, 0, 0, 0, 0, 0, 0, 0]",39
0,"[1, 1, 47, 137, 227, 76, 2, 1, 0, 0, 0, 0]",40
0,"[1, 0, 20, 230, 478, 67, 0, 0, 0, 0, 0, 0]",41
0,"[1, 0, 38, 226, 373, 73, 0, 0, 0, 0, 0, 0]",42
0,"[1, 0, 18, 112, 103, 31, 3, 0, 0, 0, 0, 0, 0, 0, 0]",43
0,"[1, 2, 33, 232, 220, 84, 12, 0, 0, 0, 0, 0, 0]",44
0,"[1, 2, 82, 173, 138, 21, 1, 0, 0, 0, 0, 0, 0, 0]",45
0,"[1, 1, 18, 115, 230, 71, 2, 0, 0, 0, 0, 0, 0]",46
0,"[1, 1, 69, 282, 125, 4, 0, 0, 0, 0, 0, 0, 0]",47
