,betti_numbers,index_study
0,"[1, 0, 151, 1634, 33, 0, 0, 0]",0
0,"[1, 0, 173, 1369, 4, 0, 0, 0, 0, 0, 0, 0]",1
0,"[1, 0, 133, 684, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
0,"[1, 0, 117, 825, 69, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
0,"[1, 0, 156, 624, 28, 5, 0, 0, 0, 0, 0]",4
0,"[1, 0, 127, 572, 29, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
0,"[1, 0, 201, 616, 48, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
0,"[1, 0, 307, 695, 2, 0, 0, 0, 0, 0, 0, 0]",7
0,"[1, 0, 223, 642, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0,"[1, 0, 309, 439, 51, 0, 0, 0, 0, 0, 0, 0]",9
0,"[1, 0, 155, 981, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10
0,"[1, 0, 81, 843, 48, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11
0,"[1, 0, 152, 1022, 59, 1, 0, 0, 0, 0, 0, 0]",12
0,"[1, 0, 185, 764, 52, 0, 0, 0, 0, 0, 0, 0]",13
0,"[1, 0, 130, 995, 23, 1, 0, 0, 0, 0, 0, 0, 0]",14
0,"[1, 0, 154, 730, 49, 0, 0, 0, 0, 0, 0, 0]",15
0,"[1, 0, 183, 1040, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16
0,"[1, 1, 140, 774, 35, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",17
0,"[1, 0, 149, 851, 22, 0, 0, 0, 0, 0, 0, 0]",18
0,"[1, 0, 157, 565, 45, 3, 0, 0, 0, 0, 0, 0, 0]",19
0,"[1, 0, 95, 749, 69, 1, 0, 0, 0, 0, 0, 0, 0, 0]",20
0,"[1, 0, 164, 1268, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21
0,"[1, 0, 113, 1375, 41, 1, 0, 0, 0, 0]",22
0,"[1, 1, 172, 670, 37, 1, 0, 0, 0, 0, 0, 0, 0]",23
0,"[1, 0, 230, 584, 27, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24
0,"[1, 0, 182, 524, 56, 4, 0, 0, 0, 0]",25
0,"[1, 0, 263, 355, 36, 4, 0, 0, 0, 0, 0, 0]",26
0,"[1, 0, 178, 553, 33, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",27
0,"[1, 2, 307, 216, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",28
0,"[1, 0, 149, 1197, 19, 0, 0, 0, 0, 0, 0, 0]",29
0,"[1, 0, 170, 676, 93, 6, 0, 0, 0, 0, 0, 0, 0, 0]",30
0,"[1, 0, 178, 734, 142, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",31
0,"[1, 1, 233, 303, 30, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",32
0,"[1, 0, 146, 1082, 36, 0, 0, 0, 0, 0, 0]",33
0,"[1, 1, 213, 883, 54, 1, 0, 0, 0, 0, 0, 0]",34
0,"[1, 0, 129, 882, 28, 2, 0, 0, 0, 0, 0, 0, 0]",35
0,"[1, 0, 252, 525, 35, 5, 0, 0, 0, 0, 0, 0]",36
0,"[1, 0, 154, 822, 38, 1, 0, 0, 0, 0, 0, 0, 0]",37
0,"[1, 0, 188, 1267, 27, 0, 0, 0, 0, 0]",38
0,"[1, 0, 180, 1277, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",39
0,"[1, 0, 160, 595, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",40
0,"[1, 0, 156, 1085, 74, 0, 0, 0, 0, 0, 0]",41
0,"[1, 0, 142, 1294, 45, 0, 0, 0, 0, 0, 0, 0, 0]",42
0,"[1, 0, 114, 1315, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0]",43
0,"[1, 0, 215, 1067, 28, 1, 0, 0, 0]",44
0,"[1, 0, 230, 1266, 20, 0, 0, 0, 0, 0, 0]",45
0,"[1, 0, 174, 782, 72, 2, 0, 0, 0, 0, 0, 0, 0]",46
0,"[1, 1, 182, 764, 59, 14, 0, 0, 0, 0, 0, 0, 0]",47
0,"[1, 1, 208, 696, 12, 0, 0, 0, 0, 0, 0]",48
0,"[1, 0, 150, 925, 175, 1, 0, 0, 0, 0, 0]",49
0,"[1, 0, 164, 750, 32, 2, 0, 0, 0, 0, 0, 0, 0, 0]",50
0,"[1, 0, 145, 1065, 28, 0, 0, 0, 0, 0, 0, 0]",51
0,"[1, 0, 125, 1262, 51, 1, 0, 0, 0, 0, 0, 0]",52
0,"[1, 0, 165, 960, 49, 0, 0, 0, 0, 0]",53
0,"[1, 0, 133, 865, 99, 4, 0, 0, 0, 0, 0, 0]",54
0,"[1, 0, 97, 1620, 53, 0, 0, 0, 0, 0]",55
0,"[1, 0, 166, 1077, 45, 3, 0, 0, 0, 0, 0, 0, 0]",56
0,"[1, 1, 184, 1035, 58, 3, 0, 0, 0, 0]",57
0,"[1, 0, 106, 1119, 87, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",58
0,"[1, 0, 134, 647, 41, 5, 0, 0, 0, 0, 0, 0]",59
0,"[1, 0, 232, 747, 20, 1, 0, 0, 0, 0, 0, 0]",60
0,"[1, 0, 211, 585, 29, 1, 0, 0, 0, 0, 0, 0]",61
0,"[1, 0, 225, 1003, 26, 0, 0, 0, 0, 0, 0]",62
0,"[1, 0, 211, 705, 30, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",63
0,"[1, 0, 142, 1117, 76, 0, 0, 0, 0, 0, 0, 0]",64
0,"[1, 0, 155, 1022, 27, 0, 0, 0, 0, 0, 0]",65
