,betti_numbers,index_study
0,"[1, 0, 23, 103, 49, 5, 0, 0, 0, 0, 0, 0, 0]",0
0,"[1, 2, 14, 140, 77, 17, 1, 0, 0, 0, 0, 0]",1
0,"[1, 9, 122, 168, 11, 0, 0, 0]",2
0,"[1, 0, 3, 5, 7, 1, 0, 0, 0, 0, 0, 0]",3
0,"[1, 0, 23, 51, 22, 0, 0, 0, 0, 0, 0, 0]",4
0,"[1, 0, 7, 16, 10, 0, 0, 0, 0, 0, 0, 0, 0]",5
0,"[1, 4, 42, 79, 101, 26, 0, 0, 0, 0, 0]",6
0,"[1, 2, 102, 209, 23, 0, 0, 0, 0, 0]",7
0,"[1, 0, 53, 157, 22, 3, 0, 0, 0, 0]",8
0,"[1, 3, 55, 173, 82, 3, 0, 0, 0, 0]",9
0,"[1, 16, 417, 150, 1, 0, 0, 0, 0]",10
0,"[1, 2, 104, 164, 4, 0, 0, 0]",11
0,"[1, 0, 0, 3, 1, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0]",12
0,"[1, 0, 57, 171, 122, 10, 1, 0, 0, 0, 0, 0]",13
0,"[1, 0, 39, 95, 47, 6, 0, 0, 0, 0]",14
0,"[1, 3, 152, 127, 28, 0, 0, 0, 0, 0]",15
0,"[1, 1, 54, 296, 44, 0, 0, 0, 0]",16
0,"[1, 3, 102, 233, 20, 0, 0, 0, 0]",17
0,"[1, 1, 34, 86, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0]",18
0,"[1, 1, 38, 104, 32, 1, 0, 0, 0, 0]",19
0,"[1, 4, 79, 181, 38, 0, 0, 0, 0]",20
0,"[1, 4, 90, 172, 19, 0, 0, 0, 0]",21
0,"[1, 0, 9, 49, 38, 12, 2, 0, 0, 0, 0, 0, 0, 0]",22
0,"[1, 1, 4, 22, 19, 3, 0, 0, 0, 0, 0, 0, 0]",23
0,"[1, 0, 3, 11, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24
0,"[1, 0, 79, 137, 46, 2, 0, 0, 0, 0]",25
0,"[1, 7, 134, 158, 10, 0, 0, 0]",26
0,"[1, 3, 73, 72, 0, 0, 0, 0, 0, 0, 0]",27
0,"[1, 3, 55, 94, 13, 0, 0, 0, 0]",28
0,"[1, 1, 57, 192, 62, 10, 0, 0, 0, 0]",29
0,"[1, 0, 4, 35, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",30
0,"[1, 1, 41, 140, 56, 46, 9, 0, 0, 0, 0, 0, 0, 0]",31
0,"[1, 7, 84, 81, 5, 0, 0, 0, 0]",32
0,"[1, 0, 17, 87, 55, 10, 0, 0, 0, 0, 0, 0, 0]",33
0,"[1, 0, 10, 24, 31, 3, 0, 0, 0, 0, 0, 0, 0]",34
0,"[1, 4, 39, 161, 52, 21, 0, 0, 0, 0, 0]",35
