,num_simplices,max_order_simplex,index_study
0,"[    200    4985   41910  176761  456500  800696 1008471  938871  653188
  338519  128497   34545    6199     663      32]",15,0
0,"[    200    5117   45511  198730  514423  883704 1076627  967326  653969
  333288  125725   33670    5942     602      25]",15,1
0,[ 200 2387 7291 8301 4308 1169  170   11],8,2
0,"[    200    4817   44340  219380  682083 1454927 2248366 2606378 2315951
 1596749  858846  360539  117727   29689    5690     792      71       3]",18,3
0,[  200  3227 14487 28083 29220 18215  6991  1563   178     8],10,4
0,"[   200   3729  24878  85901 182566 263520 273462 209354 118147  48030
  13458   2409    236      8]",14,5
0,[  200  3234 15030 29461 29210 15954  5114  1031   139    14     1],11,6
0,[  200  3230 13800 24440 23670 15143  6978  2253   453    42],10,7
0,[  200  3209 14246 27200 28517 18677  7968  2232   403    38     1],11,8
0,[  200  3242 14109 24947 21556  9810  2249   224     7],9,9
0,[ 200 2656 6743 5338 2075  580  121   13],8,10
0,[ 200 2525 7589 8444 4323 1225  202   14],8,11
0,"[     200     4761    48426   289935  1165743  3370066  7302926 12204305
 16057302 16895286 14387304 10003220  5710529  2681412  1032411   322771
    80345    15371     2123      188        8]",21,12
0,[  200  3647 18364 39889 49815 42990 27176 12537  4189   981   145    10],12,13
0,[  200  3777 21742 56625 80500 67821 34715 10657  1857   164     4],11,14
0,[  200  2799  9603 13502 10850  5665  2062   555    96     6],10,15
0,[  200  3094 11627 15667  9157  2605   376    26],8,16
0,[  200  3029 11762 17976 13773  6014  1470   159     3],9,17
0,"[  200  3247 15177 33647 47185 48793 38613 22931  9893  2977   579    61
     2]",13,18
0,[  200  2814 10996 18709 17472 10292  4166  1199   228    24     1],11,19
0,[  200  2877 10125 13926  9827  4125  1102   188    19     1],10,20
0,[  200  3077 11352 15959 11070  4410  1119   207    29     2],10,21
0,"[   200   4890  41341 174786 445190 753709 890869 751972 457835 201817
  64344  14735   2373    252     14]",15,22
0,"[    200    4762   42563  201549  595647 1204176 1759259 1920490 1595754
 1014977  490660  176400   45247    7688     751      30]",16,23
0,"[     200     5040    50713   288259  1080672  2902514  5869133  9217145
 11454706 11374930  9050022  5750120  2892422  1135936   341761    76952
    12620     1455      109        4]",20,24
0,[  200  3533 17060 35226 39330 26303 10830  2658   340    16],10,25
0,[  200  2758  8979 10931  6193  1811   288    26     2],9,26
0,[  200  2707  9840 15731 14448  8834  3759  1061   184    19     1],11,27
0,[  200  2532  8511 11483  7783  2928   594    53],8,28
0,[  200  3205 14459 27348 26710 14747  4619   775    57],9,29
0,"[    200    4631   39993  196149  661242 1654330 3158845 4665929 5389021
 4917386 3578127 2089282  979270  365250  106193   23204    3582     348
      16]",19,30
0,[  200  3439 16795 36566 44633 34726 19065  7852  2359   461    48     2],12,31
0,[  200  3020 12912 24102 24057 14155  5125  1164   164    12],10,32
0,"[   200   4027  26876  87552 168822 214000 186918 113310  46757  12702
   2215    259     22      1]",14,33
0,"[   200   4321  28572  87379 150410 160795 111452  50344  14437   2448
    204      5]",12,34
0,[  200  3306 14612 26709 24772 12938  4002   740    73     2],10,35
0,[  200  3262 15217 31362 34710 22475  9136  2590   571    95     8],11,36
0,"[   200   4369  30078  96790 182531 230943 208737 137623  66705  24056
   6575   1356    190     13]",14,37
0,"[   200   4190  27077  78684 123030 115033  69410  29267   9540   2581
    546     76      5]",13,38
0,"[   200   4057  27454  92474 185089 240603 213877 134471  60904  19910
   4605    709     62      2]",14,39
0,"[   200   4427  35722 148437 373958 625834 734609 624801 391847 182005
  61892  14862   2333    205      7]",15,40
0,[  200  3493 16143 30791 31490 19972  8377  2394   463    58     4],11,41
0,[  200  3579 17170 34072 38177 29867 17830  8191  2815   655    85     4],12,42
0,[  200  3486 17396 39405 52532 47710 31428 14920  4840   974    98     2],12,43
0,[  200  3845 21574 54556 76293 64572 34566 12023  2780   420    32],11,44
0,"[   200   5001  43211 185445 475785 811264 973355 844736 536106 248157
  82069  18517   2630    206      7]",15,45
0,"[  200  3804 23195 64439 99560 99241 71291 39318 16807  5354  1168   150
     8]",13,46
0,"[    200    4900   46944  242594  782534 1711899 2677980 3102681 2721645
 1826829  937849  363915  104152   21094    2813     213       6]",17,47
0,[ 200 2629 7559 7768 3763  887   92    3],8,48
0,[  200  3801 20986 52718 75817 69760 42705 17194  4277   576    33     1],12,49
0,[ 200 2918 9255 9888 4622 1086  128   12    1],9,50
0,"[   200   4051  24948  70094 114236 126810 103871  63021  27207   7887
   1428    144      6]",13,51
0,"[   200   4205  27967  82513 130660 125215  77909  32277   8783   1481
    136      5]",12,52
0,[  200  3863 22726 60226 86840 75003 40925 14655  3555   572    48],11,53
0,[ 200 2505 6500 5752 2393  522   52    1],8,54
0,"[   200   4186  31588 124361 303640 507806 615199 554636 374915 188688
  69252  17834   3003    285     10]",15,55
0,[  200  3977 23732 64455 98405 94602 60292 25793  7322  1357   161    10],12,56
0,"[   200   4023  24773  68481 102210  89933  48455  16167   3294    381
     19]",11,57
0,"[   200   3958  25242  75237 124998 127795  85496  38655  11697   2183
    208      7]",12,58
0,[  199  2900 12957 26303 29096 19258  7887  1982   307    29     1],11,59
0,[  200  3292 15304 30024 31339 19965  8103  2038   282    16],10,60
0,"[  200  3791 22155 60409 95203 97949 69991 35863 13485  3783   784   110
     8]",13,61
0,[  200  3491 16859 35162 40535 30249 15757  5737  1400   214    17],11,62
0,[  200  2964 10192 12591  7523  2818   813   181    21],9,63
0,[  200  2799  9026 11741  8013  3263   850   132     9],9,64
