,num_simplices,max_order_simplex,index_study
0,[ 200 2190 5766 5965 3012  829  125    7],8,0
0,"[   200   4597  35083 127755 261604 328208 265423 143248  52751  13226
   2130    184      5]",13,1
0,"[   200   4185  26400  78963 139778 163394 132756  75334  28860   6927
    891     40]",12,2
0,"[   200   4522  33006 109092 193532 204603 139105  64991  22022   5396
    843     60]",12,3
0,"[  200  3044 15102 39351 66958 82528 76039 51999 25847  9142  2278   409
    54     4]",14,4
0,[ 200 2031 3761 2108  497   52    2],7,5
0,"[  200  3573 19651 50172 72206 65931 41675 19585  7089  1918   360    41
     2]",13,6
0,[  200  3575 17391 36113 40117 27020 11535  3035   447    29],10,7
0,[  200  3577 17790 38586 45831 34156 17469  6555  1824   334    28],11,8
0,[  200  2964 12065 22315 23856 16428  7199  1850   243    14],10,9
0,[  200  3174 14435 28925 31092 20065  8313  2310   423    42     1],11,10
0,"[    200    3964   30568  129543  352694  672864  949926 1029325  876928
  595584  323861  140177   47443   12138    2210     255      14]",17,11
0,"[   200   4317  34701 147577 386651 675961 825429 722822 460105 213520
  71573  16849   2614    232      8]",15,12
0,[  200  2761 10281 16438 14170  7486  2685   691   117    10],10,13
0,"[   200   4597  31347  93594 145593 129823  70805  24798   5804    984
    129     10]",12,14
0,"[   200   5024  43462 185290 465294 767928 897447 781784 524635 275838
 113454  35553   7990   1144     78]",15,15
0,"[   200   3519  20189  58199  99659 109086  78820  37787  11906   2438
    322     26      1]",13,16
0,[  200  3048 15070 36711 50612 41386 20353  5936   966    72     1],11,17
0,[  200  3361 17724 43297 58452 48832 26927 10066  2543   413    37     1],12,18
0,"[   200   3584  22796  75178 152300 208038 202312 144020  75437  28570
   7500   1261    116      4]",14,19
0,"[   200   4346  31099 108892 228230 323418 332980 257334 149931  64756
  19947   4086    488     25]",14,20
0,[  200  3708 19967 46030 55207 38651 17089  4912   857    72     1],11,21
0,"[    200    4292   35986  162629  451918  826485 1032010  895460  541345
  225563   63357   11684    1401     114       6]",15,22
0,[  200  2974 11607 18617 15489  7754  2588   607    94     8],10,23
0,[  200  2842 11222 18756 16045  7508  1920   254    16     1],10,24
0,[  200  2841 10695 16583 13696  6974  2276   431    39     2],10,25
0,[  200  2916 11725 19834 17998 10517  4416  1394   340    55     4],11,26
0,"[   200   3900  25852  85600 172346 237483 241362 189075 115770  54748
  19410   4928    837     85      4]",15,27
0,"[   200   4094  29806 115443 289261 520900 711177 753423 623225 401755
 200995  77756  23141   5213    850     91      5]",17,28
0,"[   200   4314  32560 123803 281110 417486 427079 309489 160585  59695
  15956   3148    479     53      3]",15,29
0,"[   200   3711  23495  76001 150456 198551 182010 118328  54855  17900
   3963    548     37]",13,30
0,"[   200   4104  30750 121628 300320 505372 608198 538236 356276 178277
  67943  19841   4439    743     85      5]",16,31
0,[  200  2798  9566 13098  9322  4057  1125   179    13],9,32
0,[ 199 2637 8160 9121 4661 1246  171    9],8,33
0,[  200  3073 12544 21906 21502 14059  6640  2220   466    48     1],11,34
0,[  200  3124 12890 21451 18322  9115  2757   505    48     1],10,35
0,[  200  3016 12424 22982 24486 16765  7546  2101   309    16],10,36
0,[  200  3451 17245 38941 48441 36082 16500  4556   710    50],10,37
0,"[   200   4488  34505 131662 299229 448336 468275 351378 192125  76524
  21791   4260    537     41      2]",15,38
0,[  200  3511 19819 52857 79481 73961 44902 18214  4848   764    52],11,39
0,[  200  3578 17280 35448 38635 25303 10726  3028   514    39     1],11,40
0,[ 200 1676 3099 2392 1015  260   34    1],8,41
0,[  200  3297 13916 24103 21928 12178  4490  1157   207    22     1],11,42
0,"[   200   4206  27926  93279 193127 272015 273142 199028 104430  38168
   9093   1245     75      1]",14,43
0,[  200  2939 10701 15843 11999  5043  1178   138     5],9,44
0,[ 200 2261 4831 3322 1118  237   28    1],8,45
0,"[   200   4385  33295 131754 329127 572806 734179 717108 545384 326257
 152826  54821  14457   2631    297     16]",16,46
0,"[    200    4614   41612  201149  606536 1253033 1887227 2155849 1908605
 1317955  704470  285150   84104   16975    2094     120]",16,47
0,[ 200 1746 4739 6060 4076 1499  292   29    2],9,48
0,"[   200   3879  25415  84334 168563 222219 203691 134611  65719  23820
   6258   1126    126      7]",14,49
0,"[   200   4009  30242 123272 313091 532629 632463 537825 332405 149893
  48756  11049   1624    133      4]",15,50
0,[ 200 2600 8080 9704 5488 1552  215   15],8,51
0,[ 200 2109 5417 5473 2704  812  176   25    2],9,52
0,"[    200    4690   41275  197550  607193 1307435 2085209 2561947 2483283
 1917024 1177509  570616  214621   61009   12581    1766     151       6]",18,53
