,betti_numbers,index_study
0,"[1, 48, 19, 0]",0
0,"[1, 34, 40, 0, 0]",1
0,"[1, 48, 32, 0, 0, 0]",2
0,"[1, 38, 58, 0]",3
0,"[1, 46, 40, 0, 0]",4
0,"[1, 91, 16, 0]",5
0,"[1, 27, 25, 1, 0]",6
0,"[1, 26, 32, 0, 0]",7
0,"[1, 23, 34, 0, 0, 0]",8
0,"[1, 68, 22, 0, 0]",9
0,"[1, 27, 36, 0, 0]",10
0,"[1, 19, 40, 0, 0]",11
0,"[1, 9, 26, 0, 0]",12
0,"[1, 37, 24, 0, 0]",13
0,"[1, 33, 50, 0, 0]",14
0,"[1, 20, 56, 0, 0]",15
0,"[1, 35, 47, 0, 0]",16
0,"[1, 40, 44, 0, 0]",17
0,"[1, 48, 64, 0]",18
0,"[1, 10, 20, 0, 0, 0]",19
0,"[1, 22, 52, 0, 0, 0]",20
0,"[1, 27, 56, 0, 0, 0]",21
0,"[1, 12, 50, 0, 0]",22
0,"[1, 44, 18, 0, 0]",23
0,"[1, 28, 43, 0, 0]",24
0,"[1, 32, 36, 0, 0]",25
0,"[1, 27, 34, 0]",26
0,"[1, 30, 37, 0, 0]",27
0,"[1, 18, 22, 0, 0, 0]",28
0,"[1, 19, 60, 0, 0]",29
0,"[1, 33, 35, 1, 0, 0]",30
0,"[1, 16, 33, 2, 0]",31
0,"[1, 47, 40, 0, 0]",32
0,"[1, 80, 22, 0]",33
0,"[1, 40, 32, 1, 0, 0]",34
0,"[1, 48, 37, 0, 0, 0]",35
0,"[1, 22, 35, 0, 0]",36
0,"[1, 23, 69, 0]",37
0,"[1, 18, 49, 0, 0, 0]",38
0,"[1, 16, 48, 0, 0, 0]",39
0,"[1, 42, 64, 0, 0]",40
0,"[1, 46, 26, 0, 0]",41
0,"[1, 33, 41, 0, 0, 0]",42
0,"[1, 31, 50, 1, 0]",43
0,"[1, 35, 38, 0, 0, 0]",44
0,"[1, 90, 27, 0]",45
0,"[1, 15, 50, 0, 0]",46
0,"[1, 14, 33, 1, 0]",47
0,"[1, 52, 11, 0, 0]",48
0,"[1, 32, 53, 0, 0]",49
0,"[1, 43, 86, 0, 0]",50
0,"[2, 59, 10, 0]",51
0,"[1, 41, 32, 0, 0]",52
0,"[1, 48, 51, 0, 0]",53
0,"[1, 47, 26, 0]",54
