,Unnamed: 0,num_simplices,max_order_simplex,index_study,Nmax_clique,argmax
0,0,"[200, 4104, 25130, 70933, 115378, 121210, 86295, 41586, 13014, 2442, 239, 10]",12,0,121210,5
1,0,"[200, 4214, 27797, 84517, 145008, 157598, 116073, 60150, 22120, 5661, 958, 96, 4]",13,1,157598,5
2,0,"[200, 1966, 4374, 3364, 1131, 198, 16]",7,2,4374,2
3,0,"[200, 3967, 28225, 102430, 221670, 311480, 299977, 206216, 104862, 40620, 12086, 2660, 387, 28]",14,3,311480,5
4,0,"[200, 2658, 9126, 13095, 9962, 4415, 1116, 149, 10]",9,4,13095,3
5,0,"[200, 3071, 15604, 39165, 58785, 58713, 41593, 21787, 8657, 2620, 583, 85, 6]",13,5,58785,4
6,0,"[200, 2662, 9091, 12070, 7632, 2638, 592, 98, 9]",9,6,12070,3
7,0,"[200, 2660, 8482, 10754, 7555, 3583, 1177, 243, 24]",9,7,10754,3
8,0,"[200, 2643, 8553, 10854, 7112, 2785, 719, 130, 12]",9,8,10854,3
9,0,"[200, 2670, 8601, 10587, 6140, 1819, 263, 15]",8,9,10587,3
10,0,"[200, 2190, 4035, 2234, 696, 176, 32, 3]",8,10,4035,2
11,0,"[200, 2079, 4847, 4003, 1480, 304, 31, 1]",8,11,4847,2
12,0,"[200, 3921, 29912, 123573, 318550, 555861, 695307, 651607, 472748, 271075, 123692, 44469, 12206, 2403, 301, 18]",16,12,695307,6
13,0,"[200, 3003, 11496, 18428, 16906, 10552, 4516, 1242, 195, 13]",10,13,18428,3
14,0,"[200, 3110, 13238, 23694, 22287, 12224, 4028, 794, 91, 5]",10,14,23694,3
15,0,"[200, 2305, 6035, 6304, 3505, 1032, 130]",7,15,6304,3
16,0,"[200, 2548, 7012, 6283, 2257, 385, 26]",7,16,7012,2
17,0,"[200, 2493, 7076, 7313, 3677, 1021, 150, 8]",8,17,7313,3
18,0,"[200, 2674, 9588, 15700, 15899, 11449, 5946, 2144, 496, 63, 3]",11,18,15899,4
19,0,"[200, 2317, 6840, 8229, 5151, 1876, 408, 51, 2]",9,19,8229,3
20,0,"[200, 2370, 6240, 6135, 2919, 690, 57]",7,20,6240,2
21,0,"[200, 2534, 6839, 6549, 2895, 645, 75, 4]",8,21,6839,2
22,0,"[200, 4027, 25725, 77627, 134601, 149141, 112513, 60660, 24330, 7318, 1560, 205, 12]",13,22,149141,5
23,0,"[200, 3921, 26805, 92281, 190054, 257931, 243902, 165101, 80312, 27644, 6524, 1012, 98, 5]",14,23,257931,5
24,0,"[200, 4151, 31609, 129124, 334058, 596027, 768952, 736329, 529459, 285892, 114745, 33545, 6916, 953, 79, 3]",16,24,768952,6
25,0,"[200, 2910, 10400, 14853, 10599, 4020, 761, 56, 2]",9,25,14853,3
26,0,"[200, 2271, 5453, 4621, 1721, 294, 19]",7,26,5453,2
27,0,"[200, 2229, 6089, 7175, 4970, 2283, 685, 119, 9]",9,27,7175,3
28,0,"[200, 2085, 5211, 4891, 2159, 479, 52, 2]",8,28,5211,2
29,0,"[200, 2639, 8475, 10256, 5893, 1718, 256, 16]",8,29,10256,3
30,0,"[200, 3814, 24981, 87101, 195360, 304849, 342838, 282428, 171003, 75512, 23856, 5204, 734, 59, 2]",15,30,342838,6
31,0,"[200, 2833, 10344, 15977, 13919, 8429, 3899, 1283, 253, 22]",10,31,15977,3
32,0,"[200, 2487, 7968, 10636, 7443, 2966, 694, 100, 8]",9,32,10636,3
33,0,"[200, 3316, 16230, 35093, 41098, 29017, 12566, 3130, 376, 13]",10,33,41098,4
34,0,"[200, 3558, 18268, 41904, 52402, 39387, 18416, 5247, 838, 65, 2]",11,34,52402,4
35,0,"[200, 2721, 8974, 11547, 7055, 2200, 336, 18]",8,35,11547,3
36,0,"[200, 2686, 9429, 13762, 10322, 4334, 1059, 157, 12]",9,36,13762,3
37,0,"[200, 3599, 18743, 43939, 59972, 55568, 38396, 20878, 9064, 3073, 762, 121, 9]",13,37,59972,4
38,0,"[200, 3450, 16951, 35154, 36938, 21893, 7766, 1675, 209, 11]",10,38,36938,4
39,0,"[200, 3343, 17007, 40360, 54494, 46464, 26688, 10726, 3022, 561, 57, 2]",12,39,54494,4
40,0,"[200, 3646, 21998, 64182, 109753, 123777, 99102, 58910, 26592, 9052, 2215, 353, 31, 1]",14,40,123777,5
41,0,"[200, 2876, 9923, 13148, 8693, 3197, 661, 76, 5]",9,41,13148,3
42,0,"[200, 2949, 10636, 15145, 11972, 6499, 2500, 642, 97, 6]",10,42,15145,3
43,0,"[200, 2871, 10892, 18098, 17012, 10063, 3797, 879, 112, 5]",10,43,18098,3
44,0,"[200, 3166, 13387, 24297, 23652, 13528, 4587, 825, 52]",9,44,24297,3
45,0,"[200, 4119, 26848, 81967, 143741, 161982, 124509, 67567, 26327, 7316, 1407, 175, 11]",13,45,161982,5
46,0,"[200, 3133, 14297, 28125, 30134, 20669, 9881, 3320, 736, 95, 5]",11,46,30134,4
47,0,"[200, 4035, 30064, 115968, 270377, 416300, 447198, 345479, 193336, 77309, 21443, 3950, 448, 25]",14,47,447198,6
48,0,"[200, 2165, 4561, 3112, 901, 108, 3]",7,48,4561,2
49,0,"[200, 3130, 12952, 23484, 23621, 14539, 5572, 1268, 149, 6]",10,49,23621,4
50,0,"[200, 2403, 5403, 3770, 1126, 197, 30, 3]",8,50,5403,2
51,0,"[200, 3338, 15580, 31795, 36349, 26346, 12369, 3566, 538, 27]",10,51,36349,4
52,0,"[200, 3463, 17362, 36686, 40382, 26091, 10317, 2464, 334, 20]",10,52,40382,4
53,0,"[200, 3181, 13854, 25183, 23211, 11856, 3446, 553, 40, 1]",10,53,25183,3
54,0,"[200, 2063, 3884, 2312, 615, 88, 6]",7,54,3884,2
55,0,"[200, 3447, 19284, 52449, 83914, 88023, 63858, 32500, 11470, 2782, 469, 53, 3]",13,55,88023,5
56,0,"[200, 3276, 14642, 27783, 27900, 16495, 6049, 1447, 238, 25, 1]",11,56,27900,4
57,0,"[200, 3313, 15500, 30594, 30389, 16498, 5059, 868, 76, 1]",10,57,30594,3
58,0,"[200, 3262, 15654, 33042, 36722, 23225, 8474, 1694, 148]",9,58,36722,4
59,0,"[199, 2389, 7972, 11160, 7905, 3056, 643, 58]",8,59,11160,3
60,0,"[200, 2711, 9098, 11601, 7503, 3086, 838, 131, 9]",9,60,11601,3
61,0,"[200, 3121, 13675, 26511, 29352, 21675, 11629, 4614, 1269, 208, 14]",11,61,29352,4
62,0,"[200, 2875, 10338, 15407, 12784, 7151, 2963, 925, 198, 20]",10,62,15407,3
63,0,"[200, 2441, 6106, 5163, 2214, 666, 143, 15]",8,63,6106,2
64,0,"[200, 2305, 5511, 5096, 2481, 749, 148, 14]",8,64,5511,2
65,0,"[200, 4090, 28475, 96767, 192095, 247702, 221300, 142146, 66649, 22537, 5227, 751, 57, 2]",14,65,247702,5
66,0,"[200, 3285, 14891, 27629, 26115, 14476, 5223, 1317, 228, 20]",10,66,27629,3
67,0,"[200, 3257, 13477, 21155, 16459, 8157, 2975, 742, 106, 6]",10,67,21155,3
68,0,"[200, 2622, 7480, 7499, 3403, 756, 77, 3]",8,68,7499,3
69,0,"[200, 3048, 11875, 18672, 15892, 8895, 3601, 1082, 232, 32, 2]",11,69,18672,3
70,0,"[200, 3872, 22871, 57651, 75601, 59959, 32456, 12812, 3644, 683, 72, 3]",12,70,75601,4
71,0,"[200, 3644, 19761, 46590, 58070, 42864, 20032, 6115, 1224, 156, 10]",11,71,58070,4
72,0,"[200, 3623, 18009, 39391, 49776, 41996, 24664, 9725, 2354, 291, 10]",11,72,49776,4
73,0,"[200, 3987, 23891, 63062, 89864, 77540, 43345, 16252, 4034, 599, 40]",11,73,89864,4
74,0,"[200, 3383, 16244, 33812, 37556, 24835, 10319, 2712, 435, 36, 1]",11,74,37556,4
75,0,"[200, 4011, 23734, 62996, 93786, 88762, 57287, 26357, 8900, 2251, 429, 58, 4]",13,75,93786,4
76,0,"[200, 3623, 18954, 44031, 56318, 44218, 22504, 7581, 1689, 242, 21, 1]",12,76,56318,4
77,0,"[200, 4159, 27246, 84752, 154266, 187381, 166242, 113528, 60971, 25795, 8482, 2097, 366, 40, 2]",15,77,187381,5
78,0,"[200, 4159, 26453, 74729, 112887, 102150, 60126, 24512, 7122, 1411, 165, 8]",12,78,112887,4
79,0,"[200, 2864, 10020, 13863, 10068, 4775, 1654, 377, 46, 2]",10,79,13863,3
80,0,"[200, 2126, 4735, 3303, 895, 110, 6]",7,80,4735,2
