,num_simplices,max_order_simplex,index_study
0,"[   200   4398  30382 100332 196314 256035 236118 156556  73453  23436
   4790    584     42      2]",14,0
0,"[   200   4515  32971 112905 221709 281268 246286 153292  68004  21054
   4314    524     28]",13,1
0,[ 200 2106 5212 4553 1725  336   36    2],8,2
0,"[   200   4250  33139 134650 334480 555018 649418 555376 356675 176206
  68326  20896   4892    807     79      3]",16,3
0,[  200  2847 11034 18387 16443  8749  2807   525    57     2],10,4
0,"[   200   3290  18470  52389  90119 103731  83914  48366  19724   5592
   1071    130      8]",13,5
0,[  200  2852 11098 17510 13456  5444  1275   199    21     1],10,6
0,[  200  2850 10251 14989 12034  6348  2320   534    58],9,7
0,[  200  2832 10352 15629 12926  6802  2400   559    74     4],10,8
0,[  200  2861 10476 15218 10631  3757   622    36],8,9
0,[ 200 2346 4816 3003 1012  285   57    6],8,10
0,[ 200 2228 5699 5300 2348  653  114    7],8,11
0,"[    200    4201   35479  166820  499042 1018873 1481242 1576299 1250571
  748184  339243  116147   29472    5294     608      34]",16,12
0,[  200  3218 13822 25494 26939 19309  9838  3529   877   142    12],11,13
0,[  200  3332 15933 32958 36212 23190  8878  1995   247    14],10,14
0,[ 200 2469 7144 8360 5397 2104  515   81    7],9,15
0,[ 200 2730 8489 8987 3939  832   82    3],8,16
0,[  200  2673  8554 10218  6051  2054   398    33],8,17
0,[  200  2865 11419 21368 25636 23002 15890  8278  3113   787   118     8],12,18
0,[  200  2483  8180 11294  8083  3299   801   114     8],9,19
0,[ 200 2538 7473 8519 4913 1584  283   24    1],9,20
0,[ 200 2715 8328 9453 5185 1600  299   33    1],9,21
0,"[   200   4315  30761 106382 215492 283140 255524 164927  79458  29956
   9098   2194    398     49      3]",15,22
0,"[   200   4202  31620 121905 284699 441221 477101 368522 204056  79944
  21532   3801    405     21]",14,23
0,"[    200    4447   37327  171143  504991 1044951 1591726 1834321 1621400
 1104072  577699  230402   69090   15244    2379     240      12]",17,24
0,[  200  3117 12382 20069 16675  7741  1968   236    10],9,25
0,[ 200 2433 6586 6414 2838  652   78    4],8,26
0,[ 200 2388 7272 9651 7500 3920 1370  288   30    1],10,27
0,[ 200 2234 6313 7018 3735  970  109    2],8,28
0,[  200  2828 10352 14944 10562  3856   674    43],8,29
0,"[   200   4086  29755 119122 316816 602563 843233 881521 695900 418097
 191762  66754  17294   3213    402     30      1]",17,30
0,[  200  3036 12488 22204 21730 13600  6160  2102   457    45],10,31
0,[  200  2664  9513 14482 11584  5183  1277   164    11],9,32
0,[  200  3554 20189 54022 82331 79280 50285 20951  5537   870    70     2],12,33
0,[  200  3813 21853 57512 84166 75215 42612 15209  3253   379    20],11,34
0,[  200  2917 10891 16468 12206  4797  1011   101     3],9,35
0,[  200  2878 11255 18771 16227  7690  1991   258    14],9,36
0,"[  200  3856 22257 58601 89888 92706 69741 40289 18359  6579  1783   338
    39     2]",14,37
0,[  200  3697 20629 51051 66941 51562 24901  7966  1816   313    37     2],12,38
0,"[   200   3582  20839  59368  98571 103698  72393  34471  11303   2540
    384     38      2]",13,39
0,"[   200   3906  26328  88356 175837 230070 210209 138033  65467  22083
   5122    774     70      3]",14,40
0,[  200  3082 12166 19577 16588  8293  2498   446    38],9,41
0,[  200  3159 12684 20588 18616 11417  5041  1584   344    46     3],11,42
0,[  200  3075 12914 24157 26122 18413  8723  2716   522    53     2],11,43
0,[  200  3393 16079 33735 38336 25674 10522  2614   367    24],10,44
0,"[   200   4413  32255 114296 238049 325340 310371 213084 105955  37470
   8946   1287     84]",13,45
0,[  200  3357 17149 38797 48271 38392 21242  8346  2242   367    27],11,46
0,"[   200   4323  35398 153176 407474 725433 909066 823670 544113 260364
  88542  20712   3153    278     10]",15,47
0,[ 200 2320 5528 4606 1822  347   23],7,48
0,[  200  3354 15349 30934 34670 23927 10349  2651   355    25     2],11,49
0,[ 200 2574 6680 5672 2084  401   46    3],8,50
0,"[  200  3576 18590 43196 57738 52419 35205 17848  6674  1743   288    26
     1]",13,51
0,[  200  3711 20963 52496 71367 59276 31868 11151  2428   296    16],11,52
0,[  200  3408 16540 34297 36578 22004  7810  1638   191     9],10,53
0,[ 200 2211 4664 3239 1046  193   17],7,54
0,"[   200   3693  23797  79790 168302 248021 267643 214436 127156  55010
  16915   3536    464     33      1]",15,55
0,[  200  3509 17836 40339 49899 37317 17443  5046   856    80     4],11,56
0,[  200  3548 18727 44156 56032 41963 19525  5809  1096   122     6],11,57
0,[  200  3495 18646 44729 57820 44112 20629  5906   984    85     3],11,58
0,[  199  2560  9791 16860 15704  8502  2684   452    30],9,59
0,[  200  2905 10991 16295 12122  5415  1566   272    21],9,60
0,[  200  3345 16448 36873 47552 39898 22846  8976  2343   375    29],11,61
0,[  200  3081 12553 21903 21332 13578  6033  1868   376    37],10,62
0,[ 200 2615 7391 7154 3327 1003  215   25    1],9,63
0,[ 200 2470 6598 6800 3625 1167  235   23],8,64
0,"[   200   4382  33416 125908 278480 400194 397990 283992 147269  54761
  13957   2247    203      9]",14,65
0,[  200  3519 17872 38155 41880 26607 10572  2794   504    55     2],11,66
0,[  200  3489 16242 29472 26418 14293  5508  1557   278    25     1],11,67
0,[  200  2808  8911 10226  5428  1453   187     9],8,68
0,[  200  3267 14344 26114 25738 16655  7697  2486   511    58     3],11,69
0,"[   200   4149  27636  81314 125512 113348  64587  24563   6480   1177
    132      7]",12,70
0,[  200  3904 23841 65525 97895 88975 52638 20995  5642   984   103     5],12,71
0,"[  200  3882 22055 58101 90017 93237 68904 36815 13880  3532   577    58
     3]",13,72
0,"[   200   4273  28485  85082 139242 140883  95169  45020  15253   3688
    620     69      4]",13,73
0,[  200  3624 19637 47923 63875 51140 25476  7778  1357   115     3],11,74
0,"[   200   4297  28779  89771 160209 183128 142695  78217  30456   8417
   1641    213     14]",13,75
0,"[  200  3881 22484 58652 85549 79213 50747 24100  8940  2624   574    80
     5]",13,76
0,"[   200   4456  32644 116578 247010 348218 352114 268445 159398  75308
  28521   8535   1944    320     35      2]",16,77
0,"[   200   4455  31832 104420 186790 201194 140511  68453  24997   7068
   1478    207     18      1]",14,78
0,[  200  3069 12075 19340 16606  9336  3807  1079   180    12],10,79
0,[ 200 2276 5725 4823 1681  262   20    1],8,80
0,[  200  3489 19051 47518 64122 50755 24294  6914  1072    69],10,81
